Attaching 1 probe...
Attaching 1 probe...
Attaching 1 probe...
bpftrace 45300 5 1396015848870558
bpftrace 45309 2 1396015848871202
swapper/2 0 2 1396015848874945
swapper/5 0 5 1396015848880362
bpftrace 45309 2 1396015848870881
swapper/2 0 2 1396015848874749
bpftrace 45309 2 1396015848887126
swapper/2 0 2 1396015848888673
bpftrace 45309 2 1396015848886784
bpftrace 45309 2 1396015848893088
swapper/2 0 2 1396015848894530
swapper/2 0 2 1396015848888447
bpftrace 45309 2 1396015848892608
swapper/2 0 2 1396015848894330
bpftrace 45309 2 1396015848900020
bpftrace 45309 2 1396015848899793
swapper/2 0 2 1396015848901491
swapper/2 0 2 1396015848901258
bpftrace 45309 2 1396015848905605
bpftrace 45309 2 1396015848905847
swapper/2 0 2 1396015848907104
swapper/2 0 2 1396015848907331
bpftrace 45309 2 1396015848911766
swapper/2 0 2 1396015848914268
bpftrace 45309 2 1396015848911447
bpftrace 45300 5 1396015848912192
swapper/2 0 2 1396015848914070
swapper/5 0 5 1396015848914898
bpftrace 45300 5 1396015848911907
swapper/5 0 5 1396015848914660
bpftrace 45309 2 1396015848921782
bpftrace 45309 2 1396015848921460
swapper/2 0 2 1396015848923289
swapper/2 0 2 1396015848923088
bpftrace 45309 2 1396015848927340
bpftrace 45309 2 1396015848927638
swapper/2 0 2 1396015848928927
swapper/2 0 2 1396015848929157
bpftrace 45309 2 1396015848933555
swapper/2 0 2 1396015848935980
bpftrace 45309 2 1396015848933233
bpftrace 45300 5 1396015848933990
swapper/2 0 2 1396015848935763
swapper/5 0 5 1396015848936691
bpftrace 45300 5 1396015848933708
bpftrace 45309 2 1396015848943350
swapper/5 0 5 1396015848936427
swapper/2 0 2 1396015848944881
bpftrace 45309 2 1396015848943030
swapper/2 0 2 1396015848944684
bpftrace 45309 2 1396015848952862
bpftrace 45309 2 1396015848952563
swapper/2 0 2 1396015848954410
swapper/2 0 2 1396015848954176
bpftrace 45309 2 1396015848963459
bpftrace 45309 2 1396015848960596
swapper/2 0 2 1396015848966713
swapper/2 0 2 1396015848966510
bpftrace 45309 2 1396015848970779
swapper/2 0 2 1396015848972264
bpftrace 45309 2 1396015848971020
